 1  1 114  51
 1  2 110  60
 1  3 109  72
 1  4 103  14
 1  5 132  15
 1  6 148   0
 1  7 145  31
 1  8 164  88
 1  9 148  67
 1 10 171 120
 1 11 184 154
 1 12 164  88
 1 13 183  67
 1 14 166  50
 1 15 178   7
 1 16 198  34
 1 17 181  16
 1 18 129  18
 1 19 125  44
 1 20 102  55
 1 21 113  50
 1 22 154  75
 1 23 118  29
 1 24 130  51
 1 25 133  71
 1 26 114  44
 1 27  88  23
 1 28  95  15
 1 29  87   0
 1 30  86  17
 1 31  84  11
 2  1 114  15
 2  2 145  11
 2  3 149   0
 2  4 132  51
 2  5 148  57
 2  6 142  64
 2  7 186 134
 2  8 154  95
 2  9 138  63
 2 10 142  32
 2 11 124   0
 2 12  47   0
 2 13  78  22
 2 14  61  27
 2 15  90  28
 2 16 103   0
 2 17 122  28
 2 18 125  50
 2 19 192  51
 2 20 192  53
 2 21 222  65
 2 22 245 187
 2 23 241 181
 2 24 262 127
 2 25 299 130
 2 26 255   0
 2 27 194  26
 2 28 230  93
 3  1 202  82
 3  2 152  78
 3  3 148  95
 3  4 155  63
 3  5 139  77
 3  6 154 106
 3  7 149  62
 3  8 140  55
 3  9 162  25
 3 10 174  20
 3 11 156  30
 3 12 148  52
 3 13 178  38
 3 14 143  34
 3 15 196  31
 3 16 205  65
 3 17 244  65
 3 18 349 108
 3 19 296 115
 3 20 285 119
 3 21 272 155
 3 22 316 176
 3 23 251 146
 3 24 168  71
 3 25 196   9
 3 26 211  21
 3 27 142  20
 3 28 199  66
 3 29 226  50
 3 30 184  45
 3 31 177  58
 4  1 216 108
 4  2 182  72
 4  3 204 114
 4  4 198 120
 4  5 164  51
 4  6 129   0
 4  7 101  23
 4  8 102  62
 4  9 122  64
 4 10 113  54
 4 11 148  26
 4 12 125  19
 4 13 182  60
 4 14 210  77
 4 15 186  97
 4 16 220 165
 4 17 236 190
 4 18 219 137
 4 19 188  80
 4 20 166  69
 4 21 189  55
 4 22 129  28
 4 23 116   0
 4 24 113  14
 4 25 125  18
 4 26 100  22
 4 27 104  73
 4 28 106  67
 4 29  85  48
 4 30 106  48
 5  1 114  45
 5  2 111  28
 5  3 104  14
 5  4  81  35
 5  5 131  14
 5  6 137  55
 5  7  76  38
 5  8 103  54
 5  9 128  60
 5 10 115  44
 5 11 144  40
 5 12 195  80
 5 13 220 133
 5 14 242 198
 5 15 234 178
 5 16 160  84
 5 17 182  56
 5 18 162  15
 5 19 186  24
 5 20 157   0
 5 21 219  91
 5 22 262 193
 5 23 233 190
 5 24 314 185
 5 25 256 120
 5 26 246  83
 5 27 203  49
 5 28 188  33
 5 29 143  11
 5 30 104  13
 5 31  55  21
 6  1  44  18
 6  2  62  48
 6  3 115  42
 6  4 113  26
 6  5 156  14
 6  6 214  48
 6  7 256 112
 6  8 222 142
 6  9 238 216
 6 10 224 224
 6 11 237 171
 6 12 244  97
 6 13 234  40
 6 14 234  28
 6 15 208  47
 6 16 196  78
 6 17 152  47
 6 18 120  87
 6 19 119  78
 6 20 118  88
 6 21  87  47
 6 22  64   4
 6 23  52   0
 6 24  52  16
 6 25  68  18
 6 26  40  17
 6 27  44  25
 6 28  50  24
 6 29  81  41
 6 30 115  47
 7  1 156  36
 7  2 167  66
 7  3 192 102
 7  4 211  51
 7  5 171  64
 7  6 179  90
 7  7 161  89
 7  8 179 100
 7  9 179  84
 7 10 196  53
 7 11 184  54
 7 12 184  68
 7 13 145  76
 7 14 100  81
 7 15  95  65
 7 16  94  31
 7 17  88  31
 7 18 114  48
 7 19  90  23
 7 20  68   6
 7 21  91  12
 7 22  86  28
 7 23  92  38
 7 24  91  52
 7 25  78  40
 7 26  73   0
 7 27  72   0
 7 28  88  22
 7 29 142  56
 7 30 119  78
 7 31 190  89
 8  1 240 106
 8  2 271 144
 8  3 225  54
 8  4 281  91
 8  5 250  81
 8  6 240 100
 8  7 214 123
 8  8 158  50
 8  9 151  26
 8 10 118   0
 8 11 133   9
 8 12 104   3
 8 13  86  21
 8 14  82  34
 8 15  81  38
 8 16  58  16
 8 17  58  36
 8 18  55  40
 8 19  41  28
 8 20  42  27
 8 21  44   3
 8 22  53  22
 8 23  84  28
 8 24 103  23
 8 25 113  16
 8 26 130  67
 8 27 164  66
 8 28 190  90
 8 29 253 131
 8 30 242 169
 8 31 164 111
 9  1 171  87
 9  2 143  70
 9  3 150  30
 9  4 104  15
 9  5 113  20
 9  6 129  49
 9  7 125  50
 9  8 137  47
 9  9  68  24
 9 10  66   0
 9 11  99  17
 9 12 102   6
 9 13 126   0
 9 14 140  70
 9 15 173 116
 9 16 181 133
 9 17 199 110
 9 18 194  84
 9 19 150  49
 9 20 112  17
 9 21 103   4
 9 22 133  18
 9 23 123  34
 9 24 141  45
 9 25 178  87
 9 26 174 110
 9 27 192 137
 9 28 145 100
 9 29 132  78
 9 30 156  49
10  1 144  62
10  2 185  66
10  3 212 101
10  4 141  82
10  5 140  52
10  6 163  71
10  7 150  86
10  8 150  68
10  9 139  40
10 10 118  61
10 11  98  46
10 12  82  25
10 13  71  27
10 14 113  58
10 15 151  32
10 16  68   7
10 17  44   0
10 18  47   4
10 19  43   5
10 20 115  29
10 21 133   5
10 22 148  35
10 23 196  48
10 24 176 104
10 25 210 170
10 26 234 171
10 27 188  93
10 28 189  99
10 29 186  42
10 30 147  38
10 31 105  32
11  1 112  32
11  2  89  55
11  3 142  86
11  4 138  62
11  5 161  80
11  6 176  73
11  7 138  56
11  8 144  66
11  9 161  95
11 10 114  65
11 11 142  90
11 12 120  73
11 13 114  16
11 14 140  35
11 15 108  39
11 16 100  19
11 17  80   0
11 18 116   0
11 19 126  75
11 20 165 109
11 21 203 127
11 22 227 158
11 23 206 164
11 24 184  54
11 25 174  60
11 26 175  31
11 27 164  21
11 28 156  32
11 29 134  68
11 30 151 110
12  1 195 109
12  2 187 106
12  3 165  62
12  4 176  65
12  5 187  71
12  6 140  56
12  7  70  49
12  8  68  16
12  9  77  41
12 10  84   4
12 11  38   0
12 12  66   0
12 13 127  16
12 14 125  10
12 15 179  28
12 16 158  78
12 17 122  93
12 18 132 105
12 19 189 155
12 20 199 144
12 21 240  93
12 22 243  60
12 23 239  50
12 24 214  93
12 25 236 116
12 26 186 132
12 27 238 128
12 28 214  64
12 29 223 102
12 30 257  68
12 31 221  45
